cod_ibge;municipio;qtd_leitos;qtd_uti
230590;Ipueiras;24;0
230600;Iracema;20;0
230610;Irauçuba;11;0
230620;Itaiçaba;11;0
230625;Itaitinga;10;0
230630;Itapajé;18;0
230640;Itapipoca;84;0
230650;Itapiúna;12;0
230655;Itarema;13;0
230670;Jaguaretama;9;0
230680;Jaguaribara;29;0
230690;Jaguaribe;14;0
230700;Jaguaruana;12;0
230710;Jardim;38;0
230720;Jati;20;0
230725;Jijoca de Jericoacoara;6;0
230730;Juazeiro do Norte;336;60
230740;Jucás;11;0
230750;Lavras da Mangabeira;27;0
230760;Limoeiro do Norte;153;0
230763;Madalena;16;0
230765;Maracanaú;209;10
230770;Maranguape;63;0
230780;Marco;19;0
230790;Martinópole;4;0
230800;Massapê;18;0
230810;Mauriti;42;0
230820;Meruoca;10;0
230830;Milagres;44;0
230835;Milhã;17;0
230840;Missão Velha;42;0
230850;Mombaça;27;0
230860;Monsenhor Tabosa;31;0
230870;Morada Nova;83;0
230880;Moraújo;6;0
230890;Morrinhos;10;0
230900;Mucambo;28;0
230910;Mulungu;4;0
230920;Nova Olinda;12;0
230930;Nova Russas;25;0
230940;Novo Oriente;10;0
230945;Ocara;13;0
230950;Orós;23;0
230960;Pacajus;33;0
230970;Pacatuba;16;0
230980;Pacoti;11;0
231000;Palhano;3;0
231010;Palmácia;8;0
231020;Paracuru;23;0
231025;Paraipaba;15;0
231030;Parambu;21;0
231040;Paramoti;17;0
231050;Pedra Branca;20;0
231060;Penaforte;7;0
231070;Pentecoste;30;0
231080;Pereiro;16;0
231085;Pindoretama;6;0
231090;Piquet Carneiro;12;0
231100;Poranga;8;0
231110;Porteiras;14;0
231120;Potengi;8;0
231123;Potiretama;6;0
231126;Quiterianópolis;12;0
231130;Quixadá;47;0
231135;Quixelô;13;0
231140;Quixeramobim;182;20
231150;Quixeré;16;0
231160;Redenção;27;0
231170;Reriutaba;16;0
231180;Russas;168;0
231190;Saboeiro;28;0
231195;Salitre;8;0
231200;Santana do Acaraú;22;0
231210;Santana do Cariri;8;0
231220;Santa Quitéria;31;0
231230;São Benedito;62;0
231240;São Gonçalo do Amarante;27;0
231260;São Luís do Curu;10;0
231270;Senador Pompeu;32;0
231280;Senador Sá;3;0
231290;Sobral;514;89
231300;Solonópole;13;0
231310;Tabuleiro do Norte;35;0
231320;Tamboril;24;0
231325;Tarrafas;10;0
231330;Tauá;61;0
231335;Tejuçuoca;8;0
231340;Tianguá;74;0
231350;Trairi;6;0
231355;Tururu;5;0
231360;Ubajara;10;0
231370;Umari;13;0
231375;Umirim;7;0
231380;Uruburetama;14;0
231390;Uruoca;6;0
231395;Varjota;10;0
231400;Várzea Alegre;36;0
231410;Viçosa do Ceará;28;0
240010;Acari;20;0
240020;Assu;34;0
240030;Afonso Bezerra;15;0
240050;Alexandria;83;0
240060;Almino Afonso;31;0
240070;Alto do Rodrigues;11;0
240080;Angicos;18;0
240090;Antônio Martins;21;0
240100;Apodi;50;0
240110;Areia Branca;18;0
240120;Arez;13;0
240140;Baía Formosa;3;0
240145;Baraúna;17;0
240150;Barcelona;6;0
240160;Bento Fernandes;5;0
240170;Bom Jesus;10;0
240180;Brejinho;8;0
240190;Caiçara do Rio do Vento;6;0
240200;Caicó;138;10
240210;Campo Redondo;8;0
240220;Canguaretama;27;0
240230;Caraúbas;15;0
240240;Carnaúba dos Dantas;19;0
240250;Carnaubais;11;0
240260;Ceará-Mirim;29;0
240270;Cerro Corá;13;0
240280;Coronel Ezequiel;7;0
240290;Coronel João Pessoa;3;0
240300;Cruzeta;8;0
240310;Currais Novos;60;10
240320;Doutor Severiano;12;0
240325;Parnamirim;108;10
240330;Encanto;11;0
240340;Equador;11;0
240360;Extremoz;16;0
240370;Felipe Guerra;10;0
240400;Frutuoso Gomes;19;0
240420;Goianinha;10;0
240430;Governador Dix-Sept Rosado;8;0
240440;Grossos;9;0
240450;Guamaré;17;0
240460;Ielmo Marinho;1;0
240470;Ipanguaçu;6;0
240490;Itaú;9;0
240500;Jaçanã;12;0
240510;Jandaíra;3;0
240520;Janduís;11;0
240530;Boa Saúde;11;0
240540;Japi;1;0
240550;Jardim de Angicos;3;0
240560;Jardim de Piranhas;16;0
240570;Jardim do Seridó;23;0
240580;João Câmara;18;0
240590;João Dias;2;0
240600;José da Penha;18;0
240610;Jucurutu;34;0
240620;Lagoa d'Anta;2;0
240640;Lagoa de Velhos;4;0
240650;Lagoa Nova;16;0
240670;Lajes;21;0
240680;Lajes Pintadas;8;0
240690;Lucrécia;8;0
240700;Luís Gomes;16;0
240710;Macaíba;25;0
240720;Macau;25;0
240725;Major Sales;7;0
240740;Martins;20;0
240760;Messias Targino;7;0
240770;Montanhas;14;0
240780;Monte Alegre;11;0
240790;Monte das Gameleiras;6;0
240800;Mossoró;519;104
240810;Natal;2094;283
240820;Nísia Floresta;0;0
240830;Nova Cruz;15;0
240840;Olho-d'Água do Borges;7;0
240860;Paraná;4;0
240880;Parazinho;3;0
240890;Parelhas;38;0
240895;Rio do Fogo;4;0
240910;Passa-e-Fica;16;0
240930;Patu;18;0
240940;Pau dos Ferros;92;10
240960;Pedra Preta;4;0
240980;Pedro Velho;6;0
240990;Pendências;8;0
241000;Pilões;4;0
241010;Poço Branco;19;0
241020;Portalegre;22;0
241030;Serra Caiada;12;0
241050;Rafael Fernandes;8;0
241060;Rafael Godeiro;9;0
241070;Riacho da Cruz;10;0
