,uf,city,estimated_population
504,MA,Centro do Guilherme,13458
505,MA,Centro Novo do Maranhão,21622
506,MA,Chapadinha,79675
507,MA,Cidelândia,14697
508,MA,Codó,122859
509,MA,Coelho Neto,49435
510,MA,Colinas,41178
511,MA,Conceição do Lago-Açu,16237
512,MA,Coroatá,65296
513,MA,Cururupu,32695
514,MA,Davinópolis,12908
515,MA,Dom Pedro,23350
516,MA,Duque Bacelar,11349
517,MA,Esperantinópolis,17241
518,MA,Estreito,41946
519,MA,Feira Nova do Maranhão,8504
520,MA,Fernando Falcão,10360
521,MA,Formosa da Serra Negra,19089
522,MA,Fortaleza dos Nogueiras,12631
523,MA,Fortuna,15552
524,MA,Godofredo Viana,11819
525,MA,Gonçalves Dias,17934
526,MA,Governador Archer,10840
527,MA,Governador Edison Lobão,18296
528,MA,Governador Eugênio Barros,16828
529,MA,Governador Luiz Rocha,7807
530,MA,Governador Newton Bello,10180
531,MA,Governador Nunes Freire,25577
532,MA,Graça Aranha,6262
533,MA,Grajaú,69527
534,MA,Guimarães,12030
535,MA,Humberto de Campos,28717
536,MA,Icatu,27113
537,MA,Igarapé do Meio,14177
538,MA,Igarapé Grande,11320
539,MA,Imperatriz,258682
540,MA,Itaipava do Grajaú,16057
541,MA,Itapecuru Mirim,68203
542,MA,Itinga do Maranhão,26000
543,MA,Jatobá,10153
544,MA,Jenipapo dos Vieiras,16515
545,MA,João Lisboa,23632
546,MA,Joselândia,16168
547,MA,Junco do Maranhão,3432
548,MA,Lago da Pedra,50266
549,MA,Lago do Junco,10840
550,MA,Lago Verde,16257
551,MA,Lagoa do Mato,11250
552,MA,Lago dos Rodrigues,8873
553,MA,Lagoa Grande do Maranhão,11394
554,MA,Lajeado Novo,7550
555,MA,Lima Campos,11893
556,MA,Loreto,12157
557,MA,Luís Domingues,6951
558,MA,Magalhães de Almeida,19826
559,MA,Maracaçumé,21395
560,MA,Marajá do Sena,7792
561,MA,Maranhãozinho,16265
562,MA,Mata Roma,16829
563,MA,Matinha,23370
564,MA,Matões,33782
565,MA,Matões do Norte,16745
566,MA,Milagres do Maranhão,8464
567,MA,Mirador,21015
568,MA,Miranda do Norte,28381
569,MA,Mirinzal,14962
570,MA,Monção,33434
571,MA,Montes Altos,9160
572,MA,Morros,19433
573,MA,Nina Rodrigues,14454
574,MA,Nova Colinas,5384
575,MA,Nova Iorque,4683
576,MA,Nova Olinda do Maranhão,20928
577,MA,Olho d'Água das Cunhãs,19505
578,MA,Olinda Nova do Maranhão,14701
579,MA,Paço do Lumiar,122197
580,MA,Palmeirândia,19722
581,MA,Paraibano,21386
582,MA,Parnarama,34907
583,MA,Passagem Franca,19019
584,MA,Pastos Bons,19472
585,MA,Paulino Neves,16035
586,MA,Paulo Ramos,21040
587,MA,Pedreiras,39229
588,MA,Pedro do Rosário,25144
589,MA,Penalva,38470
590,MA,Peri Mirim,14318
591,MA,Peritoró,23196
592,MA,Pindaré-Mirim,32941
593,MA,Pinheiro,83387
594,MA,Pio XII,21485
595,MA,Pirapemas,18625
596,MA,Poção de Pedras,17873
597,MA,Porto Franco,23885
598,MA,Porto Rico do Maranhão,5975
599,MA,Presidente Dutra,47804
600,MA,Presidente Juscelino,12734
601,MA,Presidente Médici,7015
602,MA,Presidente Sarney,18918
603,MA,Presidente Vargas,11193
604,MA,Primeira Cruz,15315
605,MA,Raposa,30761
606,MA,Riachão,20195
607,MA,Ribamar Fiquene,7791
608,MA,Rosário,42740
609,MA,Sambaíba,5671
610,MA,Santa Filomena do Maranhão,7773
611,MA,Santa Helena,42130
612,MA,Santa Inês,89044
613,MA,Santa Luzia,72667
614,MA,Santa Luzia do Paruá,25254
615,MA,Santa Quitéria do Maranhão,25642
616,MA,Santa Rita,37855
617,MA,Santana do Maranhão,13386
618,MA,Santo Amaro do Maranhão,15846
619,MA,Santo Antônio dos Lopes,14528
620,MA,São Benedito do Rio Preto,18663
621,MA,São Bento,45211
622,MA,São Bernardo,28507
623,MA,São Domingos do Azeitão,7392
624,MA,São Domingos do Maranhão,34376
625,MA,São Félix de Balsas,4585
626,MA,São Francisco do Brejão,11798
627,MA,São Francisco do Maranhão,12210
628,MA,São João Batista,20665
629,MA,São João do Carú,15808
630,MA,São João do Paraíso,11177
631,MA,São João do Soter,18543
632,MA,São João dos Patos,25929
633,MA,São José de Ribamar,177687
634,MA,São José dos Basílios,7641
635,MA,São Luís,1101884
636,MA,São Luís Gonzaga do Maranhão,18856
637,MA,São Mateus do Maranhão,41529
638,MA,São Pedro da Água Branca,12690
639,MA,São Pedro dos Crentes,4668
640,MA,São Raimundo das Mangabeiras,18868
641,MA,São Raimundo do Doca Bezerra,5237
642,MA,São Roberto,6719
643,MA,São Vicente Ferrer,22247
644,MA,Satubinha,13914
645,MA,Senador Alexandre Costa,11141
646,MA,Senador La Rocque,14293
647,MA,Serrano do Maranhão,10253
648,MA,Sítio Novo,18081
649,MA,Sucupira do Norte,10636
650,MA,Sucupira do Riachão,5660
651,MA,Tasso Fragoso,8521
652,MA,Timbiras,29124
653,MA,Timon,169107
654,MA,Trizidela do Vale,21998
655,MA,Tufilândia,5840
656,MA,Tuntum,41832
657,MA,Turiaçu,35604
658,MA,Turilândia,25619
659,MA,Tutóia,58860
660,MA,Urbano Santos,33122
661,MA,Vargem Grande,56510
662,MA,Viana,52441
663,MA,Vila Nova dos Martírios,13392
664,MA,Vitória do Mearim,32764
665,MA,Vitorino Freire,31523
666,MA,Zé Doca,51714
667,PI,Acauã,7084
668,PI,Agricolândia,5139
669,PI,Água Branca,17411
670,PI,Alagoinha do Piauí,7651
671,PI,Alegrete do Piauí,4915
672,PI,Alto Longá,14304
673,PI,Altos,40524
674,PI,Alvorada do Gurguéia,5419
675,PI,Amarante,17598
676,PI,Angical do Piauí,6788
677,PI,Anísio de Abreu,9880
678,PI,Antônio Almeida,3164
679,PI,Aroazes,5835
680,PI,Aroeiras do Itaim,2551
681,PI,Arraial,4727
682,PI,Assunção do Piauí,7846
683,PI,Avelino Lopes,11289
684,PI,Baixa Grande do Ribeiro,11586
685,PI,Barra D'Alcântara,3951
686,PI,Barras,47066
687,PI,Barreiras do Piauí,3348
688,PI,Barro Duro,7032
689,PI,Batalha,26857
690,PI,Bela Vista do Piauí,4015
691,PI,Belém do Piauí,3566
692,PI,Beneditinos,10467
693,PI,Bertolínia,5501
694,PI,Betânia do Piauí,6205
695,PI,Boa Hora,6781
696,PI,Bocaina,4500
697,PI,Bom Jesus,25179
698,PI,Bom Princípio do Piauí,5630
699,PI,Bonfim do Piauí,5670
700,PI,Boqueirão do Piauí,6407
701,PI,Brasileira,8329
702,PI,Brejo do Piauí,3875
703,PI,Buriti dos Lopes,19781
704,PI,Buriti dos Montes,8244
705,PI,Cabeceiras do Piauí,10586
706,PI,Cajazeiras do Piauí,3559
707,PI,Cajueiro da Praia,7642
708,PI,Caldeirão Grande do Piauí,5776
709,PI,Campinas do Piauí,5613
710,PI,Campo Alegre do Fidalgo,5045
711,PI,Campo Grande do Piauí,5943
712,PI,Campo Largo do Piauí,7279
713,PI,Campo Maior,46833
714,PI,Canavieira,3950
715,PI,Canto do Buriti,21187
716,PI,Capitão de Campos,11417
717,PI,Capitão Gervásio Oliveira,4100
718,PI,Caracol,10916
719,PI,Caraúbas do Piauí,5868
720,PI,Caridade do Piauí,5067
721,PI,Castelo do Piauí,19716
722,PI,Caxingó,5424
723,PI,Cocal,27787
724,PI,Cocal de Telha,4891
725,PI,Cocal dos Alves,6153
726,PI,Coivaras,4020
727,PI,Colônia do Gurguéia,6484
728,PI,Colônia do Piauí,7656
729,PI,Conceição do Canindé,4803
730,PI,Coronel José Dias,4682
731,PI,Corrente,26644
732,PI,Cristalândia do Piauí,8294
733,PI,Cristino Castro,10423
734,PI,Curimatá,11388
735,PI,Currais,4954
736,PI,Curralinhos,4443
737,PI,Curral Novo do Piauí,5343
738,PI,Demerval Lobão,13817
739,PI,Dirceu Arcoverde,7011
740,PI,Dom Expedito Lopes,6904
741,PI,Domingos Mourão,4355
742,PI,Dom Inocêncio,9556
743,PI,Elesbão Veloso,14602
744,PI,Eliseu Martins,4915
745,PI,Esperantina,39737
746,PI,Fartura do Piauí,5307
747,PI,Flores do Piauí,4463
748,PI,Floresta do Piauí,2558
749,PI,Floriano,59935
750,PI,Francinópolis,5348
751,PI,Francisco Ayres,4348
752,PI,Francisco Macedo,3184
753,PI,Francisco Santos,9319
754,PI,Fronteiras,11625
755,PI,Geminiano,5442
756,PI,Gilbués,10690
757,PI,Guadalupe,10499
758,PI,Guaribas,4562
759,PI,Hugo Napoleão,3877
760,PI,Ilha Grande,9426
761,PI,Inhuma,15308
762,PI,Ipiranga do Piauí,9811
763,PI,Isaías Coelho,8549
764,PI,Itainópolis,11530
765,PI,Itaueira,11019
766,PI,Jacobina do Piauí,5741
767,PI,Jaicós,19104
768,PI,Jardim do Mulato,4504
769,PI,Jatobá do Piauí,4865
770,PI,Jerumenha,4452
771,PI,João Costa,3008
772,PI,Joaquim Pires,14354
773,PI,Joca Marques,5443
774,PI,José de Freitas,39208
775,PI,Juazeiro do Piauí,5478
776,PI,Júlio Borges,5627
777,PI,Jurema,4763
778,PI,Lagoinha do Piauí,2845
779,PI,Lagoa Alegre,8542
780,PI,Lagoa do Barro do Piauí,4655
781,PI,Lagoa de São Francisco,6758
782,PI,Lagoa do Piauí,4064
783,PI,Lagoa do Sítio,5177
784,PI,Landri Sales,5295
785,PI,Luís Correia,30311
786,PI,Luzilândia,25486
787,PI,Madeiro,8310
788,PI,Manoel Emídio,5349
789,PI,Marcolândia,8492
790,PI,Marcos Parente,4549
791,PI,Massapê do Piauí,6441
792,PI,Matias Olímpio,10936
793,PI,Miguel Alves,33760
794,PI,Miguel Leão,1246
795,PI,Milton Brandão,6613
796,PI,Monsenhor Gil,10564
797,PI,Monsenhor Hipólito,7749
798,PI,Monte Alegre do Piauí,10613
799,PI,Morro Cabeça no Tempo,4532
800,PI,Morro do Chapéu do Piauí,6796
801,PI,Murici dos Portelas,9159
802,PI,Nazaré do Piauí,7339
803,PI,Nazária,8570
804,PI,Nossa Senhora de Nazaré,4870
805,PI,Nossa Senhora dos Remédios,8692
806,PI,Novo Oriente do Piauí,6565
807,PI,Novo Santo Antônio,2991
808,PI,Oeiras,37029
809,PI,Olho D'Água do Piauí,2459
810,PI,Padre Marcos,6868
811,PI,Paes Landim,4129
812,PI,Pajeú do Piauí,3389
813,PI,Palmeira do Piauí,5043
814,PI,Palmeirais,14539
815,PI,Paquetá,3945
816,PI,Parnaguá,10791
817,PI,Parnaíba,153078
818,PI,Passagem Franca do Piauí,4313
819,PI,Patos do Piauí,6392
820,PI,Pau D'Arco do Piauí,4045
821,PI,Paulistana,20523
822,PI,Pavussu,3677
823,PI,Pedro II,38742
824,PI,Pedro Laurentino,2536
825,PI,Nova Santa Rita,4374
826,PI,Picos,78222
827,PI,Pimenteiras,12127
828,PI,Pio IX,18425
829,PI,Piracuruca,28791
830,PI,Piripiri,63742
831,PI,Porto,12568
832,PI,Porto Alegre do Piauí,2710
833,PI,Prata do Piauí,3151
834,PI,Queimada Nova,8992
835,PI,Redenção do Gurguéia,8778
836,PI,Regeneração,17978
837,PI,Riacho Frio,4312
838,PI,Ribeira do Piauí,4477
839,PI,Ribeiro Gonçalves,7341
840,PI,Rio Grande do Piauí,6432
841,PI,Santa Cruz do Piauí,6240
842,PI,Santa Cruz dos Milagres,4019
843,PI,Santa Filomena,6253
844,PI,Santa Luz,5860
845,PI,Santana do Piauí,4634
846,PI,Santa Rosa do Piauí,5257
847,PI,Santo Antônio de Lisboa,6415
