CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
2011905;130310;4;12;8;0;1;6;0;0
2708922;130320;4;4;10;0;0;4;0;0
2019604;130330;4;11;8;0;1;7;0;0
2016893;130340;10;13;23;0;0;16;23;0
3210243;130340;13;22;19;2;1;18;6;0
2018381;130350;4;11;6;1;0;5;0;0
2013320;130353;3;12;7;2;0;7;0;0
2708930;130356;6;8;3;0;0;6;0;0
2016478;130360;2;8;5;0;0;5;0;0
3220966;130370;2;10;7;1;0;6;0;0
7013434;130370;0;0;0;0;0;0;0;0
2717387;130380;1;10;4;1;0;5;0;0
4004779;130380;0;1;0;0;0;0;0;0
4004787;130380;9;12;22;1;3;16;0;0
2018128;130390;6;7;6;0;0;3;0;0
2011859;130395;3;8;4;0;0;5;0;0
2016249;130400;5;7;4;1;0;4;0;0
2016125;130406;8;16;0;2;0;8;4;0
7459831;130406;2;0;15;1;0;2;0;0
2012553;130410;5;14;11;0;0;5;0;0
2016141;130420;11;20;30;3;0;17;2;0
6510523;130420;0;0;0;0;0;0;0;0
2012804;130423;5;9;10;0;0;9;0;0
2016443;130426;2;8;5;1;0;5;0;0
2717395;130430;4;13;9;1;0;6;0;0
2016567;130440;4;9;4;0;0;5;0;0
2017911;130440;4;2;2;0;0;2;0;0
2319950;140005;0;7;0;0;0;0;0;0
4004876;140005;0;12;4;1;0;7;0;0
2319659;140010;174;117;1;5;17;0;0;17
2320681;140010;22;30;0;6;1;36;0;10
2566168;140010;0;35;148;2;0;72;26;8
6185177;140010;0;0;0;0;0;0;0;0
6955592;140010;0;0;0;0;0;0;0;0
7521251;140010;0;80;0;0;0;0;0;0
9472339;140010;0;140;0;5;0;0;0;0
9937854;140010;0;0;0;0;0;0;0;0
2320045;140015;0;5;2;1;0;1;0;0
2476649;140020;4;11;7;0;0;2;0;0
2476711;140023;0;10;2;0;0;4;0;0
2320762;140028;0;0;0;0;0;0;0;0
2320886;140030;0;13;0;1;0;1;0;0
2320541;140040;0;10;4;1;0;5;0;0
2476827;140045;0;5;3;1;0;5;0;0
7248008;140047;0;1;0;0;0;0;0;0
7470371;140047;5;6;9;1;2;4;0;0
2476703;140050;0;9;2;1;0;4;0;0
2320800;140060;0;9;3;1;0;2;0;0
2318482;150010;6;21;17;2;0;14;6;0
2318660;150010;48;40;9;1;0;12;0;0
2318687;150010;0;0;0;0;0;0;0;0
2318695;150010;0;0;0;0;0;0;0;0
7905602;150010;0;0;0;0;0;0;0;0
2329387;150013;2;10;4;1;1;4;0;0
2329484;150020;5;12;10;0;0;6;0;0
2316048;150030;4;10;6;0;0;10;0;0
2615738;150034;8;18;7;0;0;7;0;0
2331861;150040;20;36;19;3;0;16;6;0
2331470;150050;15;21;11;0;0;11;0;0
2331748;150050;3;8;9;0;0;6;0;0
6762964;150050;0;0;0;0;0;0;0;0
