Time,Occupied_beds,ICU_Occupied_beds,Median_beds,ICU_Median_beds,Beds_5_percent,ICU_Beds_5_percent,Beds_95_percent,ICU_Beds_95_percent,Queue,Median_queue,Queue_5_percent,Queue_95_percent,ICU_Queue,ICU_Median_queue,ICU_Queue_5_percent,ICU_Queue_95_percent
140,150,15,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3785,2642.0,615.2,4630.2,0,0.0,0.0,0.0
141,150,16,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3800,2642.0,615.2,4630.2,0,0.0,0.0,0.0
142,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3833,2642.0,615.2,4630.2,0,0.0,0.0,0.0
143,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3862,2642.0,615.2,4630.2,0,0.0,0.0,0.0
144,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3888,2642.0,615.2,4630.2,0,0.0,0.0,0.0
145,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3908,2642.0,615.2,4630.2,0,0.0,0.0,0.0
146,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3936,2642.0,615.2,4630.2,0,0.0,0.0,0.0
147,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3956,2642.0,615.2,4630.2,0,0.0,0.0,0.0
148,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3987,2642.0,615.2,4630.2,0,0.0,0.0,0.0
149,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4019,2642.0,615.2,4630.2,0,0.0,0.0,0.0
150,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4044,2642.0,615.2,4630.2,0,0.0,0.0,0.0
151,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4060,2642.0,615.2,4630.2,0,0.0,0.0,0.0
152,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4090,2642.0,615.2,4630.2,0,0.0,0.0,0.0
153,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4124,2642.0,615.2,4630.2,0,0.0,0.0,0.0
154,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4156,2642.0,615.2,4630.2,0,0.0,0.0,0.0
155,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4181,2642.0,615.2,4630.2,0,0.0,0.0,0.0
156,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4221,2642.0,615.2,4630.2,0,0.0,0.0,0.0
157,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4252,2642.0,615.2,4630.2,0,0.0,0.0,0.0
158,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4254,2642.0,615.2,4630.2,0,0.0,0.0,0.0
159,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4282,2642.0,615.2,4630.2,0,0.0,0.0,0.0
160,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4304,2642.0,615.2,4630.2,0,0.0,0.0,0.0
161,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4342,2642.0,615.2,4630.2,0,0.0,0.0,0.0
162,150,6,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4369,2642.0,615.2,4630.2,0,0.0,0.0,0.0
163,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4394,2642.0,615.2,4630.2,0,0.0,0.0,0.0
164,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4423,2642.0,615.2,4630.2,0,0.0,0.0,0.0
165,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4452,2642.0,615.2,4630.2,0,0.0,0.0,0.0
166,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4485,2642.0,615.2,4630.2,0,0.0,0.0,0.0
167,150,6,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4510,2642.0,615.2,4630.2,0,0.0,0.0,0.0
168,150,6,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4530,2642.0,615.2,4630.2,0,0.0,0.0,0.0
169,150,6,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4573,2642.0,615.2,4630.2,0,0.0,0.0,0.0
170,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4605,2642.0,615.2,4630.2,0,0.0,0.0,0.0
171,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4629,2642.0,615.2,4630.2,0,0.0,0.0,0.0
172,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4653,2642.0,615.2,4630.2,0,0.0,0.0,0.0
173,150,17,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4671,2642.0,615.2,4630.2,0,0.0,0.0,0.0
174,150,17,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4689,2642.0,615.2,4630.2,0,0.0,0.0,0.0
175,150,16,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4721,2642.0,615.2,4630.2,0,0.0,0.0,0.0
176,150,15,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4756,2642.0,615.2,4630.2,0,0.0,0.0,0.0
177,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4784,2642.0,615.2,4630.2,0,0.0,0.0,0.0
178,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4827,2642.0,615.2,4630.2,0,0.0,0.0,0.0
179,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,4869,2642.0,615.2,4630.2,0,0.0,0.0,0.0
